professor,courses_taught_count,courses_taught,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
"Erickson, Brittany Angela",3,CS 210; CS 410; CS 445,365,7,85,33,62,40,37,32,15,10,10,6,1,27,125,139,57,17,27,2.89
"Farley, Arthur Melvin",1,CS 490,27,0,5,6,10,6,0,0,0,0,0,0,0,0,11,16,0,0,0,3.452
"Faulk, Stuart",2,CS 422; CS 423,204,8,28,44,44,31,16,15,9,5,0,3,0,1,80,91,29,3,1,3.197
"Fickas, Stephen F",5,CS 105; CS 399; CS 423; CS 510; CS 650,184,81,39,16,8,9,12,4,8,1,0,3,0,3,136,29,13,3,3,3.559
"Flores, Juan Jose",7,CS 110; CS 111; CS 122; CS 210; CS 211; CS 422; CS 429,2360,199,364,298,280,332,251,172,134,80,36,46,17,151,861,863,386,99,151,2.905
"Foster, Raleigh Francis",1,CS 122,21,9,8,1,1,0,2,0,0,0,0,0,0,0,18,3,0,0,0,3.829
"Freeman Hennessy, Kathleen",2,CS 122; CS 210,1860,48,331,135,122,336,168,101,221,81,29,87,31,170,514,626,403,147,170,2.601
"Fuller, Elizabeth Pearl Ann",1,CS 110,22,10,2,1,1,2,2,2,1,0,0,1,0,0,13,5,3,1,0,3.364
"Gowda, Nithin Krishna",1,CS 110,32,1,17,5,1,1,1,2,4,0,0,0,0,0,23,3,6,0,0,3.503
"Gupta, Suyash",2,CS 451; CS 551,35,0,6,5,6,4,2,9,0,0,0,1,0,2,11,12,9,1,2,2.897
"Guzman Nateras, Luis Fernando",1,CS 122,50,6,10,14,10,4,1,0,0,0,0,0,1,4,30,15,0,1,4,3.284
"Hall, Jared Wayne",2,CS 110; CS 122,156,53,63,12,4,8,1,2,5,0,0,1,2,5,128,13,7,3,5,3.624
"Hassani, Ali",1,CS 322,30,6,7,3,4,2,2,0,2,1,1,0,1,1,16,8,3,2,1,3.18
"Hennessy, Michael Shane",2,CS 110; CS 111,2252,241,553,119,114,574,108,85,281,66,10,27,5,69,913,796,432,42,69,3.073
